can_smiles_solute,can_smiles_solvent,DGsolv,index,Exp_or_QM,Train/Valid/Test,predicted
CC(C)C(C)C(C)C,c1ccncc1,-4.17,3669,Exp,Train,-4.1738486
O=S(=O)(c1ccccc1)c1ccccc1,C1CCOC1,-14.88,21059,Exp,Train,-14.876568
C=C,CCCCCCCO,-0.43,1340,Exp,Train,-0.39602417
Cc1ccccn1,CCCCCCCCO,-6.14,15658,Exp,Train,-6.3095775
CCCCC#N,CCCCCCCCO,-4.89,7129,Exp,Train,-4.779366
ClC(Cl)C(Cl)Cl,ClC(Cl)(Cl)Cl,-5.93,15951,Exp,Train,-5.9668055
C=CC,CCOC(C)=O,-1.51,1649,Exp,Train,-1.545175
O=C(O)c1cccc([N+](=O)[O-])c1,CO,-12.72,19755,Exp,Train,-12.654224
C=O,OCc1ccccc1,-3.48,2214,Exp,Train,-3.4983268
Cc1ccccc1C(=O)O,CCO,-9.12,15528,Exp,Train,-9.101669
C1=CCCCCCC1,CN1CCCC1=O,-4.91,617,Exp,Train,-4.906897
CCCCC1CCCCC1,CCC(C)=O,-5.97,7547,Exp,Train,-5.990776
CC(C)Br,O,-0.48,3553,Exp,Train,-0.42968708
Clc1ccccc1,CNC(C)=O,-5.17,16623,Exp,Train,-5.159291
Cc1c(C(=O)O)cc([N+](=O)[O-])cc1[N+](=O)[O-],CCC(C)O,-16.06,14463,Exp,Train,-15.916296
S,OCCOCCOCCO,-1.32,22449,Exp,Train,-1.2758077
CCCC(C)=O,CCN(CC)C(C)=O,-4.91,6832,Exp,Train,-4.8736396
CC(C)CC(C)C,C1COCCO1,-3.39,3837,Exp,Train,-3.4275968
CCCCCCCCC,Fc1ccccc1,-5.76,8407,Exp,Train,-5.7980714
C1CCCCC1,OCCOCCO,-2.16,829,Exp,Train,-2.1840448
CCC(O)C(C)C,CCCCCCCCCC,-4.67,6346,Exp,Train,-4.7127123
CCCCCCCC,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-3.45,8232,Exp,Train,-3.451214
ClC(Cl)Cl,ClCCCl,-4.17,16003,Exp,Train,-4.2837577
S,COCCOCCO,-1.91,22436,Exp,Train,-1.8985932
O=c1c2ccccc2sc2ccccc12,CC(C)O,-11.92,21655,Exp,Train,-11.876641
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,CCCCCCCCO,-13.23,15938,Exp,Train,-13.135148
O=C=O,COCCOCCO,-0.7,20646,Exp,Train,-0.72164506
ClC(Cl)Cl,C1CCOC1,-5.13,15960,Exp,Train,-5.068211
CC(C)(C)OO,CC(C)(C)OO,-5.87,3281,Exp,Train,-5.7434697
C=C,Clc1ccccc1,-0.61,1359,Exp,Train,-0.6068399
CCCOC(C)=O,CCCCCCCC,-4.055,10067,Exp,Train,-4.023581
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,CCCCCCCCCC,-12.82,3409,Exp,Train,-12.895563
C=CC=C,CCC(C)CO,-2.06,1710,Exp,Train,-2.0331001
CCOCOCC,ClCCl,-5.47,11292,Exp,Train,-5.533085
CCCCOCCOCCOC(C)=O,CCCCOCCOCCOC(C)=O,-9.21,9737,Exp,Train,-9.217379
CCCCCC,CCCCCCCC,-3.92,7752,Exp,Train,-3.8758864
CCCCCCC,O=C1CCCO1,-2.72,8062,Exp,Train,-2.726996
CC(C)OC(C)(C)C,CCCCN(C=O)CCCC,-3.87,4420,Exp,Train,-3.7898378
CCC,CCCCO,-1.35,6404,Exp,Train,-1.3404465
CCCC(C)C,Clc1ccccc1,-3.62,6928,Exp,Train,-3.6116228
FS(F)(F)(F)(F)F,CCCCO,0.26,17088,Exp,Train,0.26343825
C(=Cc1ccccc1)c1ccccc1,Clc1ccccc1,-11.49,335,Exp,Train,-11.519864
ClC(Cl)(Cl)Cl,CCCCN(C=O)CCCC,-4.11,15885,Exp,Train,-4.10121
C[N+](=O)[O-],c1ccccc1,-4.5,14421,Exp,Train,-4.4510875
C/C=C/C=C/C,C/C=C/C=C/C,-4.45,486,Exp,Train,-4.460328
CC(C)C(C)C(C)C,CS(C)=O,-2.63,3647,Exp,Train,-2.6474116
O=C1NC(=O)c2ccccc21,CCCCCCCCO,-11.18,20364,Exp,Train,-11.072703
CC1CCCCC1,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,-3.99,5421,Exp,Train,-4.004302
C=CC=CCC,O,0.75,1744,Exp,Train,0.78594655
CCCCC,N#CCCCCC#N,-1.32,7502,Exp,Train,-1.3056651
C[N+](=O)[O-],O=CN1CCOCC1,-5.28,14410,Exp,Train,-5.224468
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,O,-6.1,11394,Exp,Train,-6.140866
O=C=O,CCOCCOCCOCC,-0.69,20636,Exp,Train,-0.7115985
CC(C)c1ccccc1,CC(C)=O,-5.89,4531,Exp,Train,-5.886471
OC1CCCCC1,CC#N,-6.37,21832,Exp,Train,-6.4537125
C=C(C)C,Ic1ccccc1,-1.91,1195,Exp,Train,-1.8887671
CCc1ccc2c(c1)C(=O)c1ccccc1C2=O,CCCCCCCCO,-12.53,11726,Exp,Train,-12.719629
CCCCCCCO,CCOCC,-7.51,9051,Exp,Train,-7.371202
CCCC(=O)O,O=[N+]([O-])c1ccccc1,-5.84,6733,Exp,Train,-5.845607
II,Cc1ccc(C)cc1,-6.21,17174,Exp,Train,-6.2058587
c1ccc2c(c1)Sc1ccccc1S2,COC(C)(C)C,-12.07,23188,Exp,Train,-12.127222
ClC(Cl)Cl,CCNC(C)=O,-4.57,15989,Exp,Train,-4.591458
Clc1ccc(Cl)c(-c2ccccc2)c1,O,-2.46,16441,Exp,Train,-2.3201299
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,O,-7.83,22814,Exp,Train,-7.7134113
FC(F)(F)C(F)(F)Cl,O,2.89,16889,Exp,Train,3.0904028
Cc1cnccn1,ClC(Cl)Cl,-6.99,15738,Exp,Train,-6.890237
O=C=O,CS(C)=O,-0.69,20651,Exp,Train,-0.677036
CCCCC,CCOCC,-3.3,7467,Exp,Train,-3.2867079
CN(C)C(=O)Nc1ccc(Cl)cc1,CC(C)CO,-13.14,11984,Exp,Train,-13.006436
CC(C)CCC(C)C,Nc1ccccc1,-3.11,4043,Exp,Train,-3.0532537
c1ccc2c(c1)ccc1ccccc12,CCC(C)(C)O,-9.84,23213,Exp,Train,-9.884711
FC(F)Cl,CCCCCCCCC,-1.16,17008,Exp,Train,-1.1664817
c1cc2c3c(cccc3c1)CC2,CCC(C)(C)O,-8.61,22713,Exp,Train,-8.71824
CCNCC,CCCCCCCCO,-4.75,10622,Exp,Train,-4.706466
CCCCC=O,CC(C)CC(C)(C)C,-4.24,7556,Exp,Train,-4.2352676
CCCO,CCOCC,-4.9,9987,Exp,Train,-4.9509454
ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,CCCCCCCCO,-10.59,16023,Exp,Train,-10.620382
C1CCNC1,O,-5.48,877,Exp,Train,-5.4880548
CCC(C)C,CNC(C)=O,-2.03,6123,Exp,Train,-2.0205271
CC(C)Cl,CCCCCCCCO,-2.84,4292,Exp,Train,-2.8165712
CCI,C=CCCCCCCCCCCCCCC,-3.53,10311,Exp,Train,-3.5309885
CCCCCCO,CCCCC,-4.97,9117,Exp,Train,-4.971554
[N-]=[N+]=O,CCCCCO,-0.5,22654,Exp,Train,-0.44232458
CC(=O)OCC(COC(C)=O)OC(C)=O,CC(=O)OCC(COC(C)=O)OC(C)=O,-10.4,2790,Exp,Train,-10.381987
C1CCC2CCCCC2C1,C1CCC2CCCCC2C1,-6.93,658,Exp,Train,-6.873622
CC(=O)C(C)(C)C,Cc1cccc(C)c1C,-4.8,2307,Exp,Train,-4.738931
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,CCCCOC(C)=O,-19.53,18655,Exp,Train,-19.766264
CCCOCCC,CCCCCl,-4.68,10131,Exp,Train,-4.6623
CCCCCCCCCCCCCCCCCCCCCCCCCC,CC(=O)N(C)C,-17.64,8723,Exp,Train,-17.794474
CC(C)=O,CCOP(=O)(OCC)OCC,-3.64,3512,Exp,Train,-3.626537
CCOc1ccc(NC(C)=O)cc1,C1CCOC1,-13.67,11451,Exp,Train,-13.597605
c1ccc2c(c1)Nc1ccccc1S2,C1CCOC1,-14.65,23109,Exp,Train,-14.684642
N#Cc1cccnc1,O,-6.75,17350,Exp,Train,-6.0861588
COc1ccccc1C(=O)O,CC(C)CO,-10.86,13974,Exp,Train,-10.892081
CC(=O)C(C)C,CCCCCCCCO,-4.15,2321,Exp,Train,-4.112015
FC(F)(F)C(Cl)Br,O,-0.13,16859,Exp,Train,-0.02409644
c1ccncc1,CCCCCC,-4.0,23542,Exp,Train,-3.9790773
BrCCBr,O,-2.2,38,Exp,Train,-2.2430823
[H][H],O,2.36,22544,Exp,Train,2.3320339
CC(=O)N(C)C,c1ccccc1,-6.41,2480,Exp,Train,-6.471818
c1ccccc1,CC(C)O,-3.71,23419,Exp,Train,-3.7622104
CC(C)C,CCCCCCCO,-1.68,3719,Exp,Train,-1.6272724
CCC,CCCCCCCCCCCC,-1.54,6396,Exp,Train,-1.5785557
CCCCN,CCCCCCCO,-5.4,9447,Exp,Train,-5.3564496
C=C/C=C/CC,C=C/C=C/CC,-4.22,1372,Exp,Train,-4.057108
FC(F)(F)F,CCCCCCCCO,1.385,16932,Exp,Train,1.366183
CCC(=O)Nc1ccc(Cl)c(Cl)c1,O,-7.78,5712,Exp,Train,-8.3068495
CCCCCN,CCCCCCC,-4.79,9223,Exp,Train,-4.785656
C=C(C)C,CCCCCCCCCC,-2.36,1183,Exp,Train,-2.3446877
CC1CCCc2ccccc21,CC1CCCc2ccccc21,-7.94,5468,Exp,Train,-7.8737288
CC(=O)Oc1ccccc1C(=O)O,CC(=O)CC(C)C,-13.18,2908,Exp,Train,-13.259585
FC(F)(F)F,CCCCCCCCCO,1.32,16931,Exp,Train,1.3339187
OC(CCl)CCl,Clc1ccccc1,-6.02,21790,Exp,Train,-6.087578
C1COCCO1,CC1COC(=O)O1,-4.98,986,Exp,Train,-4.9403677
C=CCCCC,CCN(CC)C(C)=O,-3.26,1890,Exp,Train,-3.2445247
O=O,CC(C)O,0.89,20891,Exp,Train,0.9009288
OCCO,CCOC(C)=O,-6.82,21983,Exp,Train,-6.7336335
c1cc2ccc3cccc4ccc(c1)c2c34,CC(C)OC(C)C,-12.0,22764,Exp,Train,-12.00714
Cc1ccc(C(=O)O)cc1,O,-7.35,14830,Exp,Train,-7.047288
CCOC(C)(C)C,CC(=O)N(C)C,-3.53,11069,Exp,Train,-3.4980364
C1CCOCC1,C1CCOCC1,-4.68,928,Exp,Train,-4.7088013
CCC1CCCCC1,CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC,-5.07,6546,Exp,Train,-4.8858995
C1CCCCC1,CCCCCCCCCCCCCCCC,-4.005,745,Exp,Train,-3.9534597
ClCCCl,C1COCCO1,-4.98,16100,Exp,Train,-4.9987864
O=S(=O)(c1ccccc1)c1ccccc1,CCCC(C)O,-13.14,21069,Exp,Train,-13.107388
O=[N+]([O-])c1cccc2ccccc12,CCCCCCCO,-9.98,21476,Exp,Train,-9.932753
Cc1cccc(CO)c1,Cc1cccc(CO)c1,-9.13,15281,Exp,Train,-9.179515
CCCCC(=O)OC,CC(C)c1ccccc1,-5.45,7179,Exp,Train,-5.389578
CCCCCC(C)=O,c1ccccc1,-6.36,7677,Exp,Train,-6.3171654
CI,ClCCCl,-3.62,11932,Exp,Train,-3.6161036
CC(F)(F)C(F)(F)F,CC(F)(F)C(F)(F)F,-2.37,4686,Exp,Train,-2.3255568
c1ccc2ccccc2c1,CC(C)=O,-7.84,23338,Exp,Train,-7.878421
Cc1ccc(N)cc1,ClC(Cl)Cl,-8.01,14981,Exp,Train,-7.9350863
CC(=O)C(C)(C)C,Clc1ccccc1,-5.25,2310,Exp,Train,-5.261455
c1ccc2c(c1)-c1cccc3cccc-2c13,CC(C)CC(C)O,-11.24,22955,Exp,Train,-11.283499
CN(CC(F)(F)F)c1ccccc1,O,-1.92,12233,Exp,Train,-1.8608137
CCl,ClC(Cl)Cl,-2.48,11880,Exp,Train,-2.4616215
O=C(O)c1ccc(O)cc1,C1COCCO1,-11.24,19570,Exp,Train,-11.248787
O=[O+][O-],O,0.82,21524,Exp,Train,0.8166356
Clc1ccc(Cl)cc1,CCCCCCCCO,-5.67,16465,Exp,Train,-5.664361
CCNCC,Cc1ccccc1,-3.75,10630,Exp,Train,-3.8111947
CC1CCCCC1,Nc1ccccc1,-3.29,5441,Exp,Train,-3.2181928
CC(C)CC(C)C,CCCCO,-3.5,3872,Exp,Train,-3.5218039
O=C1c2ccccc2-c2ccccc21,CCCO,-10.59,20522,Exp,Train,-10.606014
FC(F)(F)C(Cl)(Cl)Cl,FC(F)(F)C(Cl)(Cl)Cl,-3.59,16848,Exp,Train,-3.6375844
CCCCBr,CCCCCCCCO,-4.19,7121,Exp,Train,-4.0929527
O=Cc1ccco1,CCOC(C)=O,-6.3,20852,Exp,Train,-6.2938147
C/C=C/CCC,C/C=C/CCC,-4.07,494,Exp,Train,-4.023627
CCCCc1ccccc1,C1CCOC1,-7.33,9819,Exp,Train,-7.322924
CCCCCCCC,CC(C)O,-4.45,8161,Exp,Train,-4.4388547
CCOC(C)(C)C,CN1CCCCC1=O,-3.44,11081,Exp,Train,-3.396315
CCCCCCCC/C=C\CCCCCCCCCCCC(=O)OC,CCCCCCCC/C=C\CCCCCCCCCCCC(=O)OC,-15.5,8289,Exp,Train,-14.930268
CC(C)[N+](=O)[O-],CCCCCCCCCCCCCCCC,-3.47,4497,Exp,Train,-3.417033
Cl/C=C\Cl,Cl/C=C\Cl,-4.2,15842,Exp,Train,-4.220988
CCCCCCN,CCCCCCC,-5.51,9095,Exp,Train,-5.4574337
c1ccccc1,OCCS,-3.62,23515,Exp,Train,-3.582476
O=C(O)c1cccc([N+](=O)[O-])c1C(=O)O,CCCCCCO,-17.68,19768,Exp,Train,-17.453188
CC(C)(C)OC(=O)c1ccccc1C(=O)OC(C)(C)C,O,-7.09,3276,Exp,Train,-6.6919656
CCC(C)=O,CCNC(C)=O,-4.12,5991,Exp,Train,-4.080134
FC(Cl)(Cl)Cl,CN1CCCC1=O,-2.56,16786,Exp,Train,-2.5228498
c1ccc2c(c1)Nc1ccccc1S2,CCCOC(C)=O,-13.89,23136,Exp,Train,-13.855123
CSC,C=CCCCC,-3.07,14123,Exp,Train,-3.032456
CCCCCCCCCCCCCCCCCC,O,4.15,8654,Exp,Train,4.0712547
CCCCCCC,CCN1CCCC1=O,-3.49,8013,Exp,Train,-3.5550652
COC(C)(C)C,CNC(C)=O,-3.12,13013,Exp,Train,-3.1128445
C=CC(C)C,CCNC(C)=O,-2.26,1582,Exp,Train,-2.2894206
O=C(O)c1ccc([N+](=O)[O-])cc1,CN(C)C=O,-12.81,19654,Exp,Train,-12.907251
CCCO,CCCCCCCCO,-5.02,9977,Exp,Train,-4.9804125
II,ClCCl,-5.62,17180,Exp,Train,-5.6740813
c1ccccc1,CCC(C)O,-3.78,23426,Exp,Train,-3.793075
O=[N+]([O-])c1cc(Cl)ccc1Cl,CC#N,-9.34,21232,Exp,Train,-9.362277
Cc1ccccc1[N+](=O)[O-],C1CCCCC1,-6.71,15643,Exp,Train,-6.65233
CCCCC(=O)OC,CCCCCCC,-4.915,7183,Exp,Train,-4.9116926
CC#N,CCOCC,-3.61,2248,Exp,Train,-3.5680146
NC(N)=S,CCO,-10.63,17739,Exp,Train,-10.644845
CCO,C=CCCCCCCC,-2.34,10683,Exp,Train,-2.3364027
c1ccc2ccccc2c1,CCCCCCCCCCCCCCCC,-7.29,23349,Exp,Train,-7.176038
Nc1ccccc1,CC(=O)CC(C)C,-7.54,18344,Exp,Train,-7.4180417
CC1CCCO1,CC1CCCO1,-4.48,5464,Exp,Train,-4.431123
O=C(Oc1ccccc1)c1ccccc1O,CO,-12.46,20052,Exp,Train,-12.385088
CC(C)CC(C)C,CCC(C)=O,-3.66,3856,Exp,Train,-3.6275022
NC1CCCCC1,C1CCCCC1,-5.47,17753,Exp,Train,-5.4699025
CCCCCC(=O)OC,CCCCCCCCCCCCCCCC,-5.43,7623,Exp,Train,-5.291818
CCCCC(=O)OCC,O,-2.49,7210,Exp,Train,-2.392138
CCCC(=O)O,CC(C)OC(C)C,-6.85,6713,Exp,Train,-6.847216
N#Cc1ccccc1,N#Cc1ccccc1,-7.29,17342,Exp,Train,-7.2303963
O=S(=O)(c1ccccc1)c1ccccc1,CCCCOCCCC,-12.85,21081,Exp,Train,-12.809237
CCCCO,ClC(Cl)(Cl)Cl,-4.45,9565,Exp,Train,-4.462502
COC,COC,-2.48,13140,Exp,Train,-2.4809146
CCc1cccc(CC)c1N(COC)C(=O)CCl,O,-8.21,11755,Exp,Train,-8.06631
CC(C)=O,CO,-4.05,3521,Exp,Train,-4.009078
CCCCC=O,O=CN1CCOCC1,-4.49,7566,Exp,Train,-4.43174
c1ccc(-c2ccccc2)cc1,CCCCCCC,-8.54,22842,Exp,Train,-8.635199
CC(C)CC(C)C,O=C1CCCCC1,-3.56,3907,Exp,Train,-3.5358057
CCC(C)=O,CCCCCCO,-3.88,5982,Exp,Train,-3.8240192
CCCCC(=O)OC,CCCCC,-4.96,7181,Exp,Train,-4.9224505
CCN,CCCCCCO,-4.2,10546,Exp,Train,-4.189148
CCO,Ic1ccccc1,-3.1100000000000003,10771,Exp,Train,-3.0549874
O=C(C(=O)c1ccccc1)c1ccccc1,CCCCCCC,-10.33,18597,Exp,Train,-10.382051
CC1CCCC(C)(C)C1,CC1CCCC(C)(C)C1,-5.47,5381,Exp,Train,-5.418653
CF,CCCO,0.03,11906,Exp,Train,0.017332409
CC(C)C=O,CC(=O)N(C)C,-4.04,3776,Exp,Train,-4.0278387
Cc1c(C(=O)O)cc([N+](=O)[O-])cc1[N+](=O)[O-],CC(C)O,-16.16,14462,Exp,Train,-16.207973
CCCOCCC,CC(C)CO,-4.17,10124,Exp,Train,-4.182866
C1COCCO1,C1CCCCC1,-4.16,971,Exp,Train,-4.097727
Cc1ccccc1,COC(C)O,-4.49,15431,Exp,Train,-4.56377
CCCCC,ICI,-1.67,7500,Exp,Train,-1.6549062
ClC=C(Cl)Cl,C1COCCO1,-4.91,16044,Exp,Train,-4.84535
C1CCCCCC1,N#CCCCCC#N,-3.34,850,Exp,Train,-3.3137074
CCC(C)(C)O,CCCCCCCCCC,-3.99,5889,Exp,Train,-3.9465778
COC(C)=O,Fc1c(F)c(F)c(F)c(F)c1F,-4.23,13075,Exp,Train,-4.166424
CC(=O)OCCOC(C)=O,CC(=O)OCCOC(C)=O,-8.54,2820,Exp,Train,-8.322361
CCCCCCCCCCCCCCCCCC,CC(=O)N(C)C,-12.06,8650,Exp,Train,-12.154085
c1ccc2cc3ccccc3cc2c1,COC(C)(C)C,-10.74,23315,Exp,Train,-10.813327
CCc1ccc2c(c1)C(=O)c1ccccc1C2=O,CC(C)CCO,-12.18,11714,Exp,Train,-12.347376
C,CC(C)CC(C)(C)C,0.07,352,Exp,Train,0.07091819
CCCOCCC,CCC(C)=O,-4.37,10126,Exp,Train,-4.376676
Nc1ccc(C(=O)O)cc1,CCCCCO,-13.89,18131,Exp,Train,-13.767369
CCCCCCC,c1ccc2ncccc2c1,-3.86,8080,Exp,Train,-3.7603648
Cc1ccc(O)cc1,C1CCC2CCCCC2C1,-5.68,15039,Exp,Train,-5.6392803
C=CCC(C)C,O,1.9,1762,Exp,Train,1.8805771
