solute,solvent,logS,DGsolv,Reference (DOI),Comments,can_smiles_solute,can_smiles_solvent,concat_smiles,is_chonps_halogens,index,solvent_iupac_name,m062x,AE,SE
CC=CC,CC(=O)OCC,,-2.77,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A3)']",CC=CC,CCOC(C)=O,CC=CC.CCOC(C)=O,True,5572,EthylEthanoate,-2.77,0.0,0.0
CC(O)=O,CC(C)CC(C)=O,,-6.33,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,CC(=O)O,CC(=O)CC(C)C,CC(=O)O.CC(=O)CC(C)C,True,2670,4-Methyl-2-Pentanone,-6.33,0.0,0.0
CCCC,CCCCCCCCCC,,-2.43,10.1016/j.cej.2021.129307,"['Abraham Paper (A32)', 'CompSol Binary (entry number=37045)', 'CompSol Binary (entry number=37046)', 'CompSol Binary (entry number=37047)']",CCCC,CCCCCCCCCC,CCCC.CCCCCCCCCC,True,7024,n-Decane,-2.43,0.0,0.0
CC(=C)C,c1cccc(C)c1C,,-2.31,10.1016/j.cej.2021.129307,['Abraham Paper (A30)'],C=C(C)C,Cc1ccccc1C,C=C(C)C.Cc1ccccc1C,True,1193,o-Xylene,-2.31,0.0,0.0
CC(C)C#N,O,,-3.31,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=64180)'],CC(C)C#N,O,CC(C)C#N.O,True,3557,Water,-3.31,0.0,0.0
C1COCCO1,CC[N+]([O-])=O,,-5.28,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,C1COCCO1,CC[N+](=O)[O-],C1COCCO1.CC[N+](=O)[O-],True,1011,NitroEthane,-5.28,0.0,0.0
CCCOC(C)=O,C1CCCCC1,,-4.36,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,CCCOC(C)=O,C1CCCCC1,CCCOC(C)=O.C1CCCCC1,True,10057,CycloHexane,-4.36,0.0,0.0
C1=CC=C(C=C1)C=CC2=CC=CC=C2,CCOCC,,-11.01,10.1016/j.cej.2021.129307,['Abraham Paper (A12)'],C(=Cc1ccccc1)c1ccccc1,CCOCC,C(=Cc1ccccc1)c1ccccc1.CCOCC,True,326,DiethylEther,-11.01,0.0,0.0
CCO,CC[N+]([O-])=O,,-3.98,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,CCO,CC[N+](=O)[O-],CCO.CC[N+](=O)[O-],True,10737,NitroEthane,-3.98,0.0,0.0
CO,C1CCCCC1,,-1.29,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,CO,C1CCCCC1,CO.C1CCCCC1,True,12613,CycloHexane,-1.29,0.0,0.0
C,CCCCCCCCCCCCCCC,,0.38,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=54973)'],C,CCCCCCCCCCCCCCC,C.CCCCCCCCCCCCCCC,True,368,n-Pentadecane,0.38,0.0,0.0
C,CCCCCCCCCCCC,,0.32,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=38243)'],C,CCCCCCCCCCCC,C.CCCCCCCCCCCC,True,365,n-Dodecane,0.32,0.0,0.0
CCCCCCCO,ClC(Cl)Cl,,-7.53,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,CCCCCCCO,ClC(Cl)Cl,CCCCCCCO.ClC(Cl)Cl,True,9056,Chloroform,-7.53,0.0,0.0
CCC,CCCCCCCCO,,-1.27,10.13020/3eks-j059 10.1016/j.cej.2021.129307,Averaged - std : 0.01,CCC,CCCCCCCCO,CCC.CCCCCCCCO,True,6401,n-Octanol,-1.27,0.0,0.0
CCCCCC,CC(=O)OC,,-3.3,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A3)', 'CompSol Binary (entry number=30881)']",CCCCCC,COC(C)=O,CCCCCC.COC(C)=O,True,7799,MethylEthanoate,-3.3,0.0,0.0
CCCCCO,CCCCCCCCCCCC,,-4.09,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,CCCCCO,CCCCCCCCCCCC,CCCCCO.CCCCCCCCCCCC,True,9253,n-Dodecane,-4.09,0.0,0.0
C#C,c1cc(C)ccc1C,,-0.8,10.1016/j.cej.2021.129307,['Abraham Paper (A30)'],C#C,Cc1ccc(C)cc1,C#C.Cc1ccc(C)cc1,True,125,p-Xylene,-0.8,0.0,0.0
C(F)(F)(F)F,c1cccc(C)c1C,,1.21,10.1016/j.cej.2021.129307,['Abraham Paper (A30)'],FC(F)(F)F,Cc1ccccc1C,FC(F)(F)F.Cc1ccccc1C,True,16944,o-Xylene,1.21,0.0,0.0
C1CCCCC1,CO,,-3.25,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A2)', 'CompSol Binary (entry number=47339)', 'CompSol Binary (entry number=47348)']",C1CCCCC1,CO,C1CCCCC1.CO,True,786,Methanol,-3.25,0.0,0.0
CSSC,CCCCCCCCO,,-4.24,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,CSSC,CCCCCCCCO,CSSC.CCCCCCCCO,True,14151,n-Octanol,-4.24,0.0,0.0
CCC=C,CCCCCCCCC,,-2.43,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=52590)'],C=CCC,CCCCCCCCC,C=CCC.CCCCCCCCC,True,1784,n-Nonane,-2.43,0.0,0.0
CCCCC,CCCCCCCCCCCCCCCCI,,-2.59,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,CCCCC,CCCCCCCCCCCCCCCCI,CCCCC.CCCCCCCCCCCCCCCCI,True,7442,1-IodoHexaDecane,-2.59,0.0,0.0
CO,CCCCCCCC,,-1.36,10.13020/3eks-j059 10.1016/j.cej.2021.129307,Averaged - std : 0.07,CO,CCCCCCCC,CO.CCCCCCCC,True,12637,n-Octane,-1.36,0.0,0.0
CCCCCCCC=O,CCCCCCCCCCCCCCCC,,-5.9,10.13020/3eks-j059 10.1016/j.cej.2021.129307,Averaged - std : 0.08,CCCCCCCC=O,CCCCCCCCCCCCCCCC,CCCCCCCC=O.CCCCCCCCCCCCCCCC,True,8304,n-Hexadecane,-5.9,0.0,0.0
Brc1ccc(Br)cc1,O,,-2.3,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,Brc1ccc(Br)cc1,O,Brc1ccc(Br)cc1.O,True,78,Water,-2.3,0.0,0.0
C1CCCCC1,O,,1.225,10.13020/3eks-j059 10.1016/j.cej.2021.129307,Averaged - std : 0.01,C1CCCCC1,O,C1CCCCC1.O,True,818,Water,1.23,0.004999999999999893,2.4999999999998934e-05
CC,CCCCCCCCO,,-0.605,10.13020/3eks-j059 10.1016/j.cej.2021.129307,Averaged - std : 0.04,CC,CCCCCCCCO,CC.CCCCCCCCO,True,4886,n-Octanol,-0.61,0.0050000000000000044,2.5000000000000045e-05
CCO,S=C=S,,-2.715,10.13020/3eks-j059 10.1016/j.cej.2021.129307,Averaged - std : 0.01,CCO,S=C=S,CCO.S=C=S,True,10786,CarbonDiSulfide,-2.72,0.0050000000000003375,2.5000000000003376e-05
CC(C)(C)Cl,C1CCCCC1,,-3.64,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=35644)'],CC(C)(C)Cl,C1CCCCC1,CC(C)(C)Cl.C1CCCCC1,True,3158,CycloHexane,-3.65,0.009999999999999787,9.999999999999574e-05
CO,CC(O)(C)C,,-4.62,10.1016/j.cej.2021.129307,"['Abraham Paper (A1)', 'Abraham Paper (A12)']",CO,CC(C)(C)O,CO.CC(C)(C)O,True,12619,2-Methyl-2-Propanol,-4.61,0.009999999999999787,9.999999999999574e-05
C1=CC=C(C=C1)N,CC(=O)OCC,,-7.49,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A3)']",Nc1ccccc1,CCOC(C)=O,Nc1ccccc1.CCOC(C)=O,True,18360,EthylEthanoate,-7.48,0.009999999999999787,9.999999999999574e-05
CCCC(O)=O,CCCCCO,,-7.74,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,CCCC(=O)O,CCCCCO,CCCC(=O)O.CCCCCO,True,6722,1-Pentanol,-7.73,0.009999999999999787,9.999999999999574e-05
CCCC(O)=O,c1ccccc1,,-5.3,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,CCCC(=O)O,c1ccccc1,CCCC(=O)O.c1ccccc1,True,6734,Benzene,-5.29,0.009999999999999787,9.999999999999574e-05
C1=CC=C(C=C1)Cl,c1cc(C)ccc1C,,-5.52,10.1016/j.cej.2021.129307,['Abraham Paper (A30)'],Clc1ccccc1,Cc1ccc(C)cc1,Clc1ccccc1.Cc1ccc(C)cc1,True,16626,p-Xylene,-5.51,0.009999999999999787,9.999999999999574e-05
C1=CC=C2C(=C1)C=CC3=CC=CC=C32,CC(C)(C)CC(C)C,,-9.75,10.1016/j.cej.2021.129307,['Abraham Paper (A31)'],c1ccc2c(c1)ccc1ccccc12,CC(C)CC(C)(C)C,c1ccc2c(c1)ccc1ccccc12.CC(C)CC(C)(C)C,True,23208,"2,2,4-TriMethylPentane",-9.76,0.009999999999999787,9.999999999999574e-05
CCNCC,CCNCC,,-3.93,Compsol pure,solute-solvent same,CCNCC,CCNCC,CCNCC.CCNCC,True,10626,DiEthylAmine,-3.94,0.009999999999999787,9.999999999999574e-05
[nH]1ccnc1,O,,-9.72,10.13020/3eks-j059 10.1016/j.cej.2021.129307,Averaged - std : 0.09,c1c[nH]cn1,O,c1c[nH]cn1.O,True,22694,Water,-9.73,0.009999999999999787,9.999999999999574e-05
BrCCBr,BrCCBr,,-5.74,Compsol pure,solute-solvent same,BrCCBr,BrCCBr,BrCCBr.BrCCBr,True,34,"1,2-DiBromoEthane",-5.75,0.009999999999999787,9.999999999999574e-05
C1=CC=C2C=CC=CC2=C1,CCO,,-7.08,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A2)']",c1ccc2ccccc2c1,CCO,c1ccc2ccccc2c1.CCO,True,23357,Ethanol,-7.09,0.009999999999999787,9.999999999999574e-05
CCO,C1=CC=C2C(=C1)C=CC=N2,,-4.53,10.1016/j.cej.2021.129307,"['CompSol Binary (entry number=56701)', 'CompSol Binary (entry number=56702)']",CCO,c1ccc2ncccc2c1,CCO.c1ccc2ncccc2c1,True,10791,Quinoline,-4.54,0.009999999999999787,9.999999999999574e-05
CCC(O)=O,Cc1ccccc1,,-4.57,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,CCC(=O)O,Cc1ccccc1,CCC(=O)O.Cc1ccccc1,True,5737,Toluene,-4.58,0.009999999999999787,9.999999999999574e-05
CSc1ccccc1,C1CCCCC1,,-5.66,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,CSc1ccccc1,C1CCCCC1,CSc1ccccc1.C1CCCCC1,True,14163,CycloHexane,-5.67,0.009999999999999787,9.999999999999574e-05
CC(C)COC(=O)C,CCCCCCCCCCCCCCCC,,-4.32,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=43238)'],CC(=O)OCC(C)C,CCCCCCCCCCCCCCCC,CC(=O)OCC(C)C.CCCCCCCCCCCCCCCC,True,2782,n-Hexadecane,-4.33,0.009999999999999787,9.999999999999574e-05
c1ccncc1,CC(C)CO,,-5.77,10.13020/3eks-j059 10.1016/j.cej.2021.129307,Averaged - std : 0.10,c1ccncc1,CC(C)CO,c1ccncc1.CC(C)CO,True,23536,2-Methyl-1-Propanol,-5.76,0.009999999999999787,9.999999999999574e-05
CCCCCCNCc1ccc(C)cc1,O,,-4.97,10.1016/j.cej.2021.129307,['Abraham Paper (A16)'],CCCCCCNCc1ccc(C)cc1,O,CCCCCCNCc1ccc(C)cc1.O,True,9106,Water,-4.96,0.009999999999999787,9.999999999999574e-05
CN(C)CC1=CC=CC=C1,O,,-5.05,10.1016/j.cej.2021.129307,['Abraham Paper (A16)'],CN(C)Cc1ccccc1,O,CN(C)Cc1ccccc1.O,True,12138,Water,-5.04,0.009999999999999787,9.999999999999574e-05
CCCOC(C)=O,ClC(Cl)=C(Cl)Cl,,-4.8,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,CCCOC(C)=O,ClC(Cl)=C(Cl)Cl,CCCOC(C)=O.ClC(Cl)=C(Cl)Cl,True,10087,TetraChloroEthene,-4.81,0.009999999999999787,9.999999999999574e-05
C1=C(C=C(C(=C1I)O)I)I,O,,-7.16,10.1016/j.cej.2021.129307,['Abraham Paper (A9)'],Oc1c(I)cc(I)cc1I,O,Oc1c(I)cc(I)cc1I.O,True,22156,Water,-7.15,0.009999999999999787,9.999999999999574e-05
C=CC=C,CCCCCO,,-2.11,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A2)']",C=CC=C,CCCCCO,C=CC=C.CCCCCO,True,1716,1-Pentanol,-2.1,0.009999999999999787,9.999999999999574e-05
C1=CC(=CC=C1Br)Br,CCCCCC,,-7.25,10.1016/j.cej.2021.129307,['Abraham Paper (A32)'],Brc1ccc(Br)cc1,CCCCCC,Brc1ccc(Br)cc1.CCCCCC,True,68,n-Hexane,-7.26,0.009999999999999787,9.999999999999574e-05
CCOC(C)=O,C1CCC2CCCCC2C1,,-3.47,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,CCOC(C)=O,C1CCC2CCCCC2C1,CCOC(C)=O.C1CCC2CCCCC2C1,True,11092,Decalin,-3.48,0.009999999999999787,9.999999999999574e-05
CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,O,,-12.58,10.1016/j.cej.2021.129307,['Abraham Paper (A16)'],CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,O,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21.O,True,12303,Water,-12.59,0.009999999999999787,9.999999999999574e-05
CN1CCCC1=O,C1CCCCC1,,-5.73,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=35564)'],CN1CCCC1=O,C1CCCCC1,CN1CCCC1=O.C1CCCCC1,True,12354,CycloHexane,-5.74,0.009999999999999787,9.999999999999574e-05
CC(C)C,CCCCCCCC,,-2.3,10.1016/j.cej.2021.129307,"['Abraham Paper (A32)', 'CompSol Binary (entry number=54120)']",CC(C)C,CCCCCCCC,CC(C)C.CCCCCCCC,True,3714,n-Octane,-2.29,0.009999999999999787,9.999999999999574e-05
CCCCCCCC,CCCC(=O)C,,-4.81,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=24592)'],CCCCCCCC,CCCC(C)=O,CCCCCCCC.CCCC(C)=O,True,8171,2-Pentanone,-4.8,0.009999999999999787,9.999999999999574e-05
C1=CC=C(C=C1)C2=CC=CC=C2,CC(O)(C)C,,-8.06,10.1016/j.cej.2021.129307,"['Abraham Paper (A1)', 'Abraham Paper (A12)']",c1ccc(-c2ccccc2)cc1,CC(C)(C)O,c1ccc(-c2ccccc2)cc1.CC(C)(C)O,True,22828,2-Methyl-2-Propanol,-8.05,0.009999999999999787,9.999999999999574e-05
CCN,CCCCCCCCC,,-1.98,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,CCN,CCCCCCCCC,CCN.CCCCCCCCC,True,10539,n-Nonane,-1.97,0.010000000000000009,0.00010000000000000018
C,C1CCC2CCCCC2C1,,0.47,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=35311)'],C,C1CCC2CCCCC2C1,C.C1CCC2CCCCC2C1,True,344,Decalin,0.48,0.010000000000000009,0.00010000000000000018
C=C,CCCCCCCO,,-0.43,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A2)']",C=C,CCCCCCCO,C=C.CCCCCCCO,True,1340,1-Heptanol,-0.44,0.010000000000000009,0.00010000000000000018
C,C1=CC=C(C=C1)CO,,0.87,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=33679)'],C,OCc1ccccc1,C.OCc1ccccc1,True,406,BenzylAlcohol,0.86,0.010000000000000009,0.00010000000000000018
CCc1ccccc1,O,,-0.76,10.13020/3eks-j059 10.1016/j.cej.2021.129307,Averaged - std : 0.04,CCc1ccccc1,O,CCc1ccccc1.O,True,11807,Water,-0.77,0.010000000000000009,0.00010000000000000018
CCCCCC,CC(O)(C)C,,-3.33,10.1016/j.cej.2021.129307,"['Abraham Paper (A1)', 'Abraham Paper (A12)']",CCCCCC,CC(C)(C)O,CCCCCC.CC(C)(C)O,True,7723,2-Methyl-2-Propanol,-3.32,0.010000000000000231,0.00010000000000000461
C(Cl)(Cl)(Cl)Cl,CC(O)(C)C,,-3.74,10.1016/j.cej.2021.129307,"['Abraham Paper (A1)', 'Abraham Paper (A12)']",ClC(Cl)(Cl)Cl,CC(C)(C)O,ClC(Cl)(Cl)Cl.CC(C)(C)O,True,15869,2-Methyl-2-Propanol,-3.73,0.010000000000000231,0.00010000000000000461
CCC=C(C)C,C(=O)N(C)C,,-3.12,10.1016/j.cej.2021.129307,"['Abraham Paper (A20)', 'Abraham Paper (A5)']",CCC=C(C)C,CN(C)C=O,CCC=C(C)C.CN(C)C=O,True,6632,"n,n-DiMethylFormamide",-3.11,0.010000000000000231,0.00010000000000000461
CCCC=C,CCCCCCCCCCCCCCCC,,-2.79,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,C=CCCC,CCCCCCCCCCCCCCCC,C=CCCC.CCCCCCCCCCCCCCCC,True,1838,n-Hexadecane,-2.78,0.010000000000000231,0.00010000000000000461
CCCC=C,CCCCCCCC,,-3.1,10.1016/j.cej.2021.129307,['Abraham Paper (A32)'],C=CCCC,CCCCCCCC,C=CCCC.CCCCCCCC,True,1837,n-Octane,-3.09,0.010000000000000231,0.00010000000000000461
CCCCCCC,C1=CC=C(C=C1)CO,,-3.24,10.1016/j.cej.2021.129307,"['CompSol Binary (entry number=33666)', 'CompSol Binary (entry number=33669)', 'CompSol Binary (entry number=33670)']",CCCCCCC,OCc1ccccc1,CCCCCCC.OCc1ccccc1,True,8075,BenzylAlcohol,-3.23,0.010000000000000231,0.00010000000000000461
CCN,CCCCC,,-2.18,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,CCN,CCCCC,CCN.CCCCC,True,10535,n-Pentane,-2.17,0.010000000000000231,0.00010000000000000461
CCCC=C,C1CCCCC1=O,,-2.77,10.1016/j.cej.2021.129307,['Abraham Paper (A4)'],C=CCCC,O=C1CCCCC1,C=CCCC.O=C1CCCCC1,True,1860,CycloHexanone,-2.76,0.010000000000000231,0.00010000000000000461
Clc1ccccc1c2ccccc2Cl,O,,-2.73,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,Clc1ccccc1-c1ccccc1Cl,O,Clc1ccccc1-c1ccccc1Cl.O,True,16595,Water,-2.74,0.010000000000000231,0.00010000000000000461
CCCCCCC,CC(C)(C)CC(C)C,,-4.6,10.1016/j.cej.2021.129307,"['Abraham Paper (A31)', 'CompSol Binary (entry number=16452)', 'CompSol Binary (entry number=16453)']",CCCCCCC,CC(C)CC(C)(C)C,CCCCCCC.CC(C)CC(C)(C)C,True,7971,"2,2,4-TriMethylPentane",-4.61,0.010000000000000675,0.0001000000000000135
CCCCOC(C)=O,C1CCCCC1,,-4.94,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,CCCCOC(C)=O,C1CCCCC1,CCCCOC(C)=O.C1CCCCC1,True,9647,CycloHexane,-4.93,0.010000000000000675,0.0001000000000000135
CCCCCCCCCC(=O)O,O,,-5.28,10.1016/j.cej.2021.129307,['Abraham Paper (A16)'],CCCCCCCCCC(=O)O,O,CCCCCCCCCC(=O)O.O,True,8447,Water,-5.27,0.010000000000000675,0.0001000000000000135
C1CCC=CC1,C1CCC2=CC=CC=C2C1,,-4.28,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=2071)'],C1=CCCCC1,c1ccc2c(c1)CCCC2,C1=CCCCC1.c1ccc2c(c1)CCCC2,True,609,Tetralin,-4.27,0.010000000000000675,0.0001000000000000135
CCCCCC,CCCCC,,-4.11,10.1016/j.cej.2021.129307,"['CompSol Binary (entry number=55150)', 'CompSol Binary (entry number=55151)', 'CompSol Binary (entry number=55152)', 'CompSol Binary (entry number=55155)']",CCCCCC,CCCCC,CCCCCC.CCCCC,True,7743,n-Pentane,-4.1,0.010000000000000675,0.0001000000000000135
CCCCCO,CCCCCCCCCCO,,-6.39,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A2)']",CCCCCO,CCCCCCCCCCO,CCCCCO.CCCCCCCCCCO,True,9255,1-Decanol,-6.4,0.010000000000000675,0.0001000000000000135
CCCCC(=O)OC,CC(Cl)Cl,,-5.97,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,CCCCC(=O)OC,CC(Cl)Cl,CCCCC(=O)OC.CC(Cl)Cl,True,7180,DiChloroEthane,-5.98,0.010000000000000675,0.0001000000000000135
C(CC(=O)O)CC(=O)O,O,,-12.71,10.1016/j.cej.2021.129307,"['Abraham Paper (A4)', 'Abraham Paper (A4)', 'Abraham Paper (A4)']",O=C(O)CCCC(=O)O,O,O=C(O)CCCC(=O)O.O,True,19034,Water,-12.7,0.010000000000001563,0.00010000000000003127
CCCCCCCO,CCCCCCC,,-5.595,10.13020/3eks-j059 10.1016/j.cej.2021.129307,Averaged - std : 0.00,CCCCCCCO,CCCCCCC,CCCCCCCO.CCCCCCC,True,9039,Heptane,-5.58,0.01499999999999968,0.0002249999999999904
C1COCCO1,C[S](C)=O,,-4.87,10.13020/3eks-j059 10.1016/j.cej.2021.129307,Averaged - std : 0.03,C1COCCO1,CS(C)=O,C1COCCO1.CS(C)=O,True,1022,DiMethylSulfoxide,-4.89,0.019999999999999574,0.00039999999999998294
C1=CC=C(C=C1)C=CC2=CC=CC=C2,CO,,-9.92,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A2)']",C(=Cc1ccccc1)c1ccccc1,CO,C(=Cc1ccccc1)c1ccccc1.CO,True,328,Methanol,-9.94,0.019999999999999574,0.00039999999999998294
C1=CC=C2C(=C1)C3=CC=CC=C3C2=O,CCCCCCCC,,-9.86,10.1016/j.cej.2021.129307,['Abraham Paper (A32)'],O=C1c2ccccc2-c2ccccc21,CCCCCCCC,O=C1c2ccccc2-c2ccccc21.CCCCCCCC,True,20501,n-Octane,-9.84,0.019999999999999574,0.00039999999999998294
CCCCCCC(C)O,CCCCCCC,,-5.86,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=41833)'],CCCCCCC(C)O,CCCCCCC,CCCCCCC(C)O.CCCCCCC,True,7929,Heptane,-5.88,0.019999999999999574,0.00039999999999998294
CCCC,CCCCCCCCCCCCCCC,,-2.24,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=54959)'],CCCC,CCCCCCCCCCCCCCC,CCCC.CCCCCCCCCCCCCCC,True,7028,n-Pentadecane,-2.26,0.019999999999999574,0.00039999999999998294
C1=CC(=CC=C1O)O,CCCCCC,,-6.25,10.1016/j.cej.2021.129307,['Abraham Paper (A32)'],Oc1ccc(O)cc1,CCCCCC,Oc1ccc(O)cc1.CCCCCC,True,22257,n-Hexane,-6.23,0.019999999999999574,0.00039999999999998294
CC(O)=O,CCCCCCO,,-6.51,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,CC(=O)O,CCCCCCO,CC(=O)O.CCCCCCO,True,2682,1-Hexanol,-6.49,0.019999999999999574,0.00039999999999998294
CC(O)=O,Cc1ccccc1,,-4.0,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,CC(=O)O,Cc1ccccc1,CC(=O)O.Cc1ccccc1,True,2691,Toluene,-4.02,0.019999999999999574,0.00039999999999998294
C1CCCCC1,CCCCC=C,,-4.22,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=10960)'],C1CCCCC1,C=CCCCC,C1CCCCC1.C=CCCCC,True,704,1-Hexene,-4.2,0.019999999999999574,0.00039999999999998294
CCCCC=C,c1ccc(C)cc1C,,-3.74,10.1016/j.cej.2021.129307,['Abraham Paper (A30)'],C=CCCCC,Cc1cccc(C)c1,C=CCCCC.Cc1cccc(C)c1,True,1902,m-Xylene,-3.76,0.019999999999999574,0.00039999999999998294
CC1=CC=CC=N1,CC(O)CC,,-6.0,10.1016/j.cej.2021.129307,"['Abraham Paper (A1)', 'Abraham Paper (A12)']",Cc1ccccn1,CCC(C)O,Cc1ccccn1.CCC(C)O,True,15656,2-Butanol,-5.98,0.019999999999999574,0.00039999999999998294
CCC1=CC=C(C=C1)CC,CC(O)(C)C,,-6.3,10.1016/j.cej.2021.129307,"['Abraham Paper (A1)', 'Abraham Paper (A12)']",CCc1ccc(CC)cc1,CC(C)(C)O,CCc1ccc(CC)cc1.CC(C)(C)O,True,11693,2-Methyl-2-Propanol,-6.28,0.019999999999999574,0.00039999999999998294
