solute,solvent,logS,DGsolv,Reference (DOI),Comments,can_smiles_solute,can_smiles_solvent,concat_smiles,is_chonps_halogens,index,DGsolv_qm,AE,SE
C#C,c1cc(C)ccc1C,,-0.8,10.1016/j.cej.2021.129307,['Abraham Paper (A30)'],C#C,Cc1ccc(C)cc1,C#C.Cc1ccc(C)cc1,True,125,-1.05534031,0.25534031,0.06519867391089611
C#C,O,,-0.005,10.13020/3eks-j059 10.1016/j.cej.2021.129307,Averaged - std : 0.01,C#C,O,C#C.O,True,128,-0.3549383,0.3499383,0.12245681380688998
CC(=C)C#C,CC(=C)C#C,,-3.43,Compsol pure,solute-solvent same,C#CC(=C)C,C#CC(=C)C,C#CC(=C)C.C#CC(=C)C,True,131,-3.23635028,0.19364972000000025,0.03750021405607849
CC#C,CC(=O)C,,-2.48,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A4)']",C#CC,CC(C)=O,C#CC.CC(C)=O,True,152,-2.58257923,0.10257922999999991,0.010522498427392881
CC#C,CN(C)P(=O)(N(C)C)N(C)C,,-2.6,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=44764)'],C#CC,CN(C)P(=O)(N(C)C)N(C)C,C#CC.CN(C)P(=O)(N(C)C)N(C)C,True,158,-2.31467909,0.28532091000000026,0.08140802168322825
CC#C,CN1CCCC1=O,,-2.47,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=11490)'],C#CC,CN1CCCC1=O,C#CC.CN1CCCC1=O,True,159,-2.57175293,0.10175292999999996,0.010353658763584893
CC#C,CC(=O)OC,,-2.51,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A3)']",C#CC,COC(C)=O,C#CC.COC(C)=O,True,160,-2.56230067,0.05230067000000016,0.0027353600824489167
CC#C,C1=CC=C(C=C1)N,,-2.01,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=31856)'],C#CC,Nc1ccccc1,C#CC.Nc1ccccc1,True,163,-2.1885718,0.17857180000000028,0.0318878877552401
CC#C,C(CO)O,,-1.22,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=5253)'],C#CC,OCCO,C#CC.OCCO,True,167,-1.6907703,0.4707703000000001,0.22162467536209007
C=CC#C,O1CCOCC1,,-3.21,10.1016/j.cej.2021.129307,['Abraham Paper (A33)'],C#CC=C,C1COCCO1,C#CC=C.C1COCCO1,True,187,-2.90178639,0.30821361000000014,0.09499562938923219
C=CC#C,CC(=O)C,,-3.19,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A4)']",C#CC=C,CC(C)=O,C#CC=C.CC(C)=O,True,188,-2.98317575,0.20682424999999993,0.04277627038806247
C=CC#C,O,,0.04,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,C#CC=C,O,C#CC=C.O,True,194,0.04302957,0.0030295700000000023,9.178294384900013e-06
CCC#C,O1CCOCC1,,-3.0,10.1016/j.cej.2021.129307,['Abraham Paper (A33)'],C#CCC,C1COCCO1,C#CCC.C1COCCO1,True,198,-2.95229707,0.04770292999999981,0.002275569530584882
CCC#C,CC(C)(C)CC(C)C,,-2.36,10.1016/j.cej.2021.129307,['Abraham Paper (A31)'],C#CCC,CC(C)CC(C)(C)C,C#CCC.CC(C)CC(C)(C)C,True,200,-2.2198583,0.14014170000000004,0.01963969607889001
CCC#C,CCCCCCCCCCCCCCCC,,-2.07,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,C#CCC,CCCCCCCCCCCCCCCC,C#CCC.CCCCCCCCCCCCCCCC,True,201,-1.92254679,0.1474532099999999,0.02174244913930407
CCC#C,C(=O)N(C)C,,-2.92,10.1016/j.cej.2021.129307,"['Abraham Paper (A20)', 'Abraham Paper (A5)']",C#CCC,CN(C)C=O,C#CCC.CN(C)C=O,True,202,-2.87352189,0.046478109999999795,0.002160214709172081
CCC#C,O,,-0.16,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,C#CCC,O,C#CCC.O,True,205,-0.08414037,0.07585963,0.0057546834637369
CCCC#C,CCCCCCCCCCCCCCCC,,-2.74,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,C#CCCC,CCCCCCCCCCCCCCCC,C#CCCC.CCCCCCCCCCCCCCCC,True,209,-2.63560567,0.10439433000000031,0.010898176136148966
CCCC#C,CCCCCCCCO,,-2.79,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,C#CCCC,CCCCCCCCO,C#CCCC.CCCCCCCCO,True,210,-2.85758177,0.06758176999999987,0.004567295636332883
CCCC#C,c1ccccc1C#N,,-3.31,10.1016/j.cej.2021.129307,['Abraham Paper (A26)'],C#CCCC,N#Cc1ccccc1,C#CCCC.N#Cc1ccccc1,True,212,-3.48534857,0.17534857000000015,0.03074712100104495
CCCCC#C,CCCCCCCCCCCCCCCC,,-3.42,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,C#CCCCC,CCCCCCCCCCCCCCCC,C#CCCCC.CCCCCCCCCCCCCCCC,True,219,-3.33708886,0.08291113999999977,0.006874257136099562
CCCCC#C,C(CCC#N)CC#N,,-3.32,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=45743)'],C#CCCCC,N#CCCCCC#N,C#CCCCC.N#CCCCCC#N,True,224,-3.36247717,0.042477170000000175,0.001804309971208915
CCCCC#C,C(CO)N,,-2.4,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=19374)'],C#CCCCC,NCCO,C#CCCCC.NCCO,True,225,-2.86156184,0.4615618399999999,0.2130393321441855
CCCCC#C,C1=COC(=C1)C=O,,-3.57,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=20999)'],C#CCCCC,O=Cc1ccco1,C#CCCCC.O=Cc1ccco1,True,228,-3.87040456,0.30040456000000004,0.09024289966879362
CCCCC#C,C1=COC(=C1)CO,,-3.31,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=21268)'],C#CCCCC,OCc1ccco1,C#CCCCC.OCc1ccco1,True,229,-3.57743599,0.26743599000000007,0.07152200874728014
CCCCCC#C,C1CCC(CC1)C2CCCCC2,,-4.33,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=1137)'],C#CCCCCC,C1CCC(C2CCCCC2)CC1,C#CCCCCC.C1CCC(C2CCCCC2)CC1,True,233,-4.22190671,0.10809329000000023,0.01168415934302415
CCCCCC#C,C(CCC#N)CC#N,,-3.83,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=45733)'],C#CCCCCC,N#CCCCCC#N,C#CCCCCC.N#CCCCCC#N,True,237,-3.78790652,0.04209348000000013,0.0017718610585104107
CCCCCC#C,C(CO)N,,-2.8,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=19366)'],C#CCCCCC,NCCO,C#CCCCCC.NCCO,True,238,-3.22493284,0.4249328400000003,0.18056791851046586
CCCCCC#C,C1=COC(=C1)C=O,,-4.12,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=20994)'],C#CCCCCC,O=Cc1ccco1,C#CCCCCC.O=Cc1ccco1,True,241,-4.40625775,0.28625774999999987,0.08194349943506242
CCCCCC#C,C1CCC(CC1)C2=CC=CC=C2,,-4.56,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=36706)'],C#CCCCCC,c1ccc(C2CCCCC2)cc1,C#CCCCCC.c1ccc(C2CCCCC2)cc1,True,243,-4.53027025,0.029729749999999555,0.0008838580350624736
CCCCCCC#C,C(CO)N,,-3.17,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=19380)'],C#CCCCCCC,NCCO,C#CCCCCCC.NCCO,True,251,-3.48518513,0.31518513000000015,0.09934166617311699
CCCCCCC#C,O,,0.71,10.1016/j.cej.2021.129307,"['Abraham Paper (A11)', 'Abraham Paper (A20)', 'Abraham Paper (A20)', 'Abraham Paper (A5)', 'Abraham Paper (A5)', 'FreeSolv (entry number=636)', 'CompSol Binary (entry number=63170)']",C#CCCCCCC,O,C#CCCCCCC.O,True,253,0.5280672,0.1819328,0.03309954371584
C#N,C#N,,-3.83,Compsol pure,solute-solvent same,C#N,C#N,C#N.C#N,True,284,-3.71610112,0.11389888000000026,0.012972954865254458
C1=CC=C(C=C1)C=CC2=CC=CC=C2,O1CCCC1,,-11.77,10.1016/j.cej.2021.129307,['Abraham Paper (A33)'],C(=Cc1ccccc1)c1ccccc1,C1CCOC1,C(=Cc1ccccc1)c1ccccc1.C1CCOC1,True,296,-10.52791959,1.2420804099999998,1.5427637449057676
C1=CC=C(C=C1)C=CC2=CC=CC=C2,O1CCOCC1,,-11.51,10.1016/j.cej.2021.129307,['Abraham Paper (A33)'],C(=Cc1ccccc1)c1ccccc1,C1COCCO1,C(=Cc1ccccc1)c1ccccc1.C1COCCO1,True,297,-10.02025734,1.4897426599999992,2.219333193023873
C1=CC=C(C=C1)C=CC2=CC=CC=C2,CC(=O)OCC,,-11.23,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A3)']",C(=Cc1ccccc1)c1ccccc1,CCOC(C)=O,C(=Cc1ccccc1)c1ccccc1.CCOC(C)=O,True,325,-10.12047703,1.1095229700000004,1.2310412209576218
C1=CC=C(C=C1)C=CC2=CC=CC=C2,CCOCC,,-11.01,10.1016/j.cej.2021.129307,['Abraham Paper (A12)'],C(=Cc1ccccc1)c1ccccc1,CCOCC,C(=Cc1ccccc1)c1ccccc1.CCOCC,True,326,-10.22687684,0.7831231600000006,0.6132818837283865
C,O1CCCC1,,0.25,10.1016/j.cej.2021.129307,['Abraham Paper (A33)'],C,C1CCOC1,C.C1CCOC1,True,345,-0.29110181,0.54110181,0.2927911687852761
C,C1CO1,,0.14,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=54739)'],C,C1CO1,C.C1CO1,True,346,-0.2969705,0.43697050000000004,0.19094321787025004
C,O1CCOCC1,,0.56,10.1016/j.cej.2021.129307,['Abraham Paper (A33)'],C,C1COCCO1,C.C1COCCO1,True,347,-0.05602484,0.61602484,0.3794866034970256
C,CC(O)(C)C,,0.34,10.1016/j.cej.2021.129307,"['Abraham Paper (A1)', 'Abraham Paper (A12)']",C,CC(C)(C)O,C.CC(C)(C)O,True,350,-0.01949373,0.35949373,0.12923574190931292
C,CC(O)C,,0.45,10.1016/j.cej.2021.129307,"['Abraham Paper (A1)', 'Abraham Paper (A12)']",C,CC(C)O,C.CC(C)O,True,354,-0.03560267,0.48560267,0.2358099531111289
C,CCCCCC,,0.03,10.1016/j.cej.2021.129307,"['Abraham Paper (A32)', 'CompSol Binary (entry number=45423)']",C,CCCCCC,C.CCCCCC,True,358,-0.13954451,0.16954451,0.028745340871140102
C,CCCCCCCCCCCCC,,0.34,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=61668)'],C,CCCCCCCCCCCCC,C.CCCCCCCCCCCCC,True,366,0.11193286,0.22806714000000003,0.052014620347779615
C,CCCCCCCCCCCCCC,,0.36,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=58913)'],C,CCCCCCCCCCCCCC,C.CCCCCCCCCCCCCC,True,367,0.13581985,0.22418015,0.0502567396540225
C,CCCCCCCCCCCCCCC,,0.38,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=54973)'],C,CCCCCCCCCCCCCCC,C.CCCCCCCCCCCCCCC,True,368,0.15899934,0.22100066000000002,0.04884129172043561
C,CCCCCCO,,0.47,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A2)']",C,CCCCCCO,C.CCCCCCO,True,375,0.02630048,0.44369951999999996,0.19686926404823035
C,CCCCO,,0.42,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A2)']",C,CCCCO,C.CCCCO,True,377,-0.02562645,0.44562645,0.1985829329396025
C,CCCCOCCOCCOCCO,,0.7,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=15422)'],C,CCCCOCCOCCOCCO,C.CCCCOCCOCCOCCO,True,378,0.20989381,0.49010619,0.24020407747631609
C,CCCO,,0.4,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A2)']",C,CCCO,C.CCCO,True,379,-0.04203138,0.44203138000000003,0.19539174090470443
C,CCOCC,,-0.03,10.1016/j.cej.2021.129307,['Abraham Paper (A12)'],C,CCOCC,C.CCOCC,True,381,-0.23146662,0.20146662,0.040588798974224405
C,C(=O)N(C)C,,0.71,10.1016/j.cej.2021.129307,"['Abraham Paper (A20)', 'Abraham Paper (A5)']",C,CN(C)C=O,C.CN(C)C=O,True,382,0.04681807,0.6631819299999999,0.4398102722785248
C,c1cc(C)ccc1C,,0.33,10.1016/j.cej.2021.129307,['Abraham Paper (A30)'],C,Cc1ccc(C)cc1,C.Cc1ccc(C)cc1,True,392,-0.11171039,0.44171039,0.1951080686339521
C,ClC(Cl)(Cl)Cl,,0.19,10.1016/j.cej.2021.129307,['Abraham Paper (A7)'],C,ClC(Cl)(Cl)Cl,C.ClC(Cl)(Cl)Cl,True,395,-0.17780169,0.36780169,0.1352780831668561
C,c1ccccc1Cl,,0.45,10.1016/j.cej.2021.129307,['Abraham Paper (A6)'],C,Clc1ccccc1,C.Clc1ccccc1,True,396,-0.14938025,0.5993802500000001,0.35925668409006256
C,c1ccccc1I,,0.83,10.1016/j.cej.2021.129307,['Abraham Paper (A6)'],C,Ic1ccccc1,C.Ic1ccccc1,True,397,-0.0091616,0.8391616,0.7041921909145599
C,C1=CC=C(C=C1)N,,1.05,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=32023)'],C,Nc1ccccc1,C.Nc1ccccc1,True,398,0.06203616,0.98796384,0.9760725491475457
C,C(COCCO)O,,1.25,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=17000)'],C,OCCOCCO,C.OCCOCCO,True,405,0.4001463,0.8498536999999999,0.7222513114036899
C,C1=CC=C(C=C1)CO,,0.87,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=33679)'],C,OCc1ccccc1,C.OCc1ccccc1,True,406,0.08279381,0.78720619,0.6196935855743162
C1C=CC=CC=C1,O,,-0.99,10.1016/j.cej.2021.129307,['FreeSolv (entry number=77)'],C1=CC=CCC=C1,O,C1=CC=CCC=C1.O,True,548,-1.19386111,0.20386111000000007,0.04155935217043213
C1C=CC=C1,CC(=O)OCC1=CC=CC=C1,,-2.92,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=30975)'],C1=CCC=C1,CC(=O)OCc1ccccc1,C1=CCC=C1.CC(=O)OCc1ccccc1,True,552,-3.60828872,0.6882887200000001,0.4737413620792385
C1C=CC=C1,O,,-0.22,10.1016/j.cej.2021.129307,"['Abraham Paper (A20)', 'Abraham Paper (A20)', 'Abraham Paper (A5)', 'Abraham Paper (A5)']",C1=CCC=C1,O,C1=CCC=C1.O,True,556,-0.50167114,0.28167114000000004,0.07933863110889962
C1C=CCC=C1,C1CCC(CC1)C2CCCCC2,,-4.34,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=1135)'],C1=CCC=CC1,C1CCC(C2CCCCC2)CC1,C1=CCC=CC1.C1CCC(C2CCCCC2)CC1,True,559,-4.18458346,0.15541654000000005,0.024154300905571614
C1C=CCC=C1,O,,-0.67,10.1016/j.cej.2021.129307,"['Abraham Paper (A4)', 'CompSol Binary (entry number=62580)']",C1=CCC=CC1,O,C1=CCC=CC1.O,True,563,-0.62288321,0.04711679000000002,0.002219991899904102
C1CC=CC1,CN1CCCC1=O,,-2.84,10.1016/j.cej.2021.129307,"['Abraham Paper (A20)', 'Abraham Paper (A5)']",C1=CCCC1,CN1CCCC1=O,C1=CCCC1.CN1CCCC1=O,True,568,-3.05105958,0.21105958000000014,0.044546146309776456
C1CC=CC1,C1COCCN1C=O,,-2.52,10.1016/j.cej.2021.129307,"['Abraham Paper (A20)', 'Abraham Paper (A5)']",C1=CCCC1,O=CN1CCOCC1,C1=CCCC1.O=CN1CCOCC1,True,572,-2.62320187,0.10320186999999992,0.010650625971496883
C1CC=CC=C1,C1CCC2=CC=CC=C2C1,,-4.31,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=2022)'],C1=CCCC=C1,c1ccc2c(c1)CCCC2,C1=CCCC=C1.c1ccc2c(c1)CCCC2,True,579,-4.23156352,0.0784364799999997,0.006152281394790352
C1CCC=CC1,CC(=O)N(C)C,,-3.48,10.1016/j.cej.2021.129307,"['Abraham Paper (A20)', 'Abraham Paper (A5)']",C1=CCCCC1,CC(=O)N(C)C,C1=CCCCC1.CC(=O)N(C)C,True,584,-3.55902939,0.07902939000000009,0.006245644483772114
C1CCC=CC1,CCNC(=O)C,,-3.67,10.1016/j.cej.2021.129307,"['Abraham Paper (A20)', 'Abraham Paper (A5)']",C1=CCCCC1,CCNC(C)=O,C1=CCCCC1.CCNC(C)=O,True,591,-3.41920715,0.25079284999999985,0.06289705361112242
C1CCC=CC1,CNC(=O)C,,-3.52,10.1016/j.cej.2021.129307,"['Abraham Paper (A20)', 'Abraham Paper (A5)']",C1=CCCCC1,CNC(C)=O,C1=CCCCC1.CNC(C)=O,True,596,-3.2821165,0.23788350000000014,0.05658855957225006
C1CCC=CC1,c1ccccc1C#N,,-3.95,10.1016/j.cej.2021.129307,['Abraham Paper (A26)'],C1=CCCCC1,N#Cc1ccccc1,C1=CCCCC1.N#Cc1ccccc1,True,600,-3.932095,0.017905000000000282,0.00032058902500001007
C1CCC=CC1,O,,0.36,10.1016/j.cej.2021.129307,"['Abraham Paper (A10)', 'Abraham Paper (A11)', 'Abraham Paper (A11)', 'Abraham Paper (A11)', 'Abraham Paper (A20)', 'Abraham Paper (A20)', 'Abraham Paper (A20)', 'Abraham Paper (A20)', 'Abraham Paper (A20)', 'Abraham Paper (A20)', 'Abraham Paper (A20)', 'Abraham Paper (A20)', 'Abraham Paper (A20)', 'Abraham Paper (A20)', 'Abraham Paper (A20)', 'Abraham Paper (A20)', 'Abraham Paper (A26)', 'Abraham Paper (A4)', 'Abraham Paper (A5)', 'Abraham Paper (A5)', 'Abraham Paper (A5)', 'Abraham Paper (A5)', 'Abraham Paper (A5)', 'Abraham Paper (A5)', 'Abraham Paper (A5)', 'Abraham Paper (A5)', 'Abraham Paper (A5)', 'Abraham Paper (A5)', 'Abraham Paper (A5)', 'Abraham Paper (A5)', 'FreeSolv (entry number=161)', 'CompSol Binary (entry number=66409)', 'CompSol Binary (entry number=66413)']",C1=CCCCC1,O,C1=CCCCC1.O,True,603,0.12138022,0.23861978,0.0569393994072484
C1CCC=CC1,C1CCC2=CC=CC=C2C1,,-4.28,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=2071)'],C1=CCCCC1,c1ccc2c(c1)CCCC2,C1=CCCCC1.c1ccc2c(c1)CCCC2,True,609,-4.08878555,0.19121445000000037,0.03656296588880264
C1CCC=CC1,C1=CC=CC=C1,,-4.47,10.1016/j.cej.2021.129307,"['CompSol Binary (entry number=32867)', 'CompSol Binary (entry number=32868)', 'CompSol Binary (entry number=32869)']",C1=CCCCC1,c1ccccc1,C1=CCCCC1.c1ccccc1,True,610,-4.29534128,0.17465872000000005,0.030505668472038415
C1CCC=CCC1,CN1CCCC1=O,,-4.22,10.1016/j.cej.2021.129307,"['Abraham Paper (A20)', 'Abraham Paper (A5)']",C1=CCCCCC1,CN1CCCC1=O,C1=CCCCCC1.CN1CCCC1=O,True,613,-4.28530855,0.06530855000000013,0.004265206703102517
C1CCC=CCC1,O,,0.7,10.1016/j.cej.2021.129307,"['Abraham Paper (A20)', 'Abraham Paper (A20)', 'Abraham Paper (A5)', 'Abraham Paper (A5)', 'CompSol Binary (entry number=66341)']",C1=CCCCCC1,O,C1=CCCCCC1.O,True,615,-0.10775142,0.80775142,0.6524623565120165
C1CCCC=CCC1,C(=O)N(C)C,,-4.77,10.1016/j.cej.2021.129307,"['Abraham Paper (A20)', 'Abraham Paper (A5)']",C1=CCCCCCC1,CN(C)C=O,C1=CCCCCCC1.CN(C)C=O,True,616,-4.57162894,0.1983710599999995,0.039351077445523394
C1CC1,CCCCCCCCCCCCCCCC,,-1.78,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,C1CC1,CCCCCCCCCCCCCCCC,C1CC1.CCCCCCCCCCCCCCCC,True,643,-1.32067991,0.45932009000000007,0.21097494507760817
C1CC1,O,,0.75,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,C1CC1,O,C1CC1.O,True,648,0.88315222,0.13315222000000004,0.01772951369092841
C1CCCC1,C1CCCC1,,-3.81,Compsol pure,solute-solvent same,C1CCCC1,C1CCCC1,C1CCCC1.C1CCCC1,True,661,-3.47308185,0.33691815000000025,0.11351383979942267
C1CCCC1,CCCCCC,,-3.7,10.1016/j.cej.2021.129307,['Abraham Paper (A32)'],C1CCCC1,CCCCCC,C1CCCC1.CCCCCC,True,666,-3.29702463,0.40297537000000005,0.16238914882663694
C1CCCC1,CCCCCCCCCC,,-3.46,10.1016/j.cej.2021.129307,['Abraham Paper (A32)'],C1CCCC1,CCCCCCCCCC,C1CCCC1.CCCCCCCCCC,True,667,-3.10322134,0.3567786599999998,0.12729101223139547
C1CCCC1,CCCCCCCCCCCC,,-3.37,10.1016/j.cej.2021.129307,"['CompSol Binary (entry number=38201)', 'CompSol Binary (entry number=38202)', 'CompSol Binary (entry number=38203)']",C1CCCC1,CCCCCCCCCCCC,C1CCCC1.CCCCCCCCCCCC,True,668,-3.0355152,0.33448480000000025,0.11188008143104017
C1CCCC1,CCO,,-2.78,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A2)']",C1CCCC1,CCO,C1CCCC1.CCO,True,673,-2.61083669,0.16916330999999962,0.028616225450155974
