solute,solvent,logS,DGsolv,Reference (DOI),Comments,can_smiles_solute,can_smiles_solvent,concat_smiles,is_chonps_halogens,index
C1=CC=C(C=C1)CBr,CC(O)(C)C,,-6.36,10.1016/j.cej.2021.129307,"['Abraham Paper (A1)', 'Abraham Paper (A12)']",BrCc1ccccc1,CC(C)(C)O,BrCc1ccccc1.CC(C)(C)O,True,42
C1=CC=C(C=C1)CBr,CC(O)C,,-6.18,10.1016/j.cej.2021.129307,"['Abraham Paper (A1)', 'Abraham Paper (A12)']",BrCc1ccccc1,CC(C)O,BrCc1ccccc1.CC(C)O,True,43
C1=CC=C(C=C1)CBr,CCCCO,,-6.37,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A2)']",BrCc1ccccc1,CCCCO,BrCc1ccccc1.CCCCO,True,44
C1=CC=C(C=C1)CBr,CCCO,,-6.41,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A2)']",BrCc1ccccc1,CCCO,BrCc1ccccc1.CCCO,True,45
BrCC1=CC=CC=C1,O,,-2.38,10.1016/j.cej.2021.129307,"["" 'FreeSolv (entry number=115)'""]",BrCc1ccccc1,O,BrCc1ccccc1.O,True,46
C1(=C(C(=C(C(=C1Br)Br)Br)Br)Br)Br,CCCCCCCCC=CCCCCCCCC(=O)OCC(OC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCC=CCCCCCCCC,,-12.66,10.1016/j.cej.2021.129307,['Abraham Paper (A25)'],Brc1c(Br)c(Br)c(Br)c(Br)c1Br,CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC,Brc1c(Br)c(Br)c(Br)c(Br)c1Br.CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC,True,47
C1(=C(C(=C(C(=C1Br)Br)Br)Br)Br)Br,O,,-3.08,10.1016/j.cej.2021.129307,['Abraham Paper (A25)'],Brc1c(Br)c(Br)c(Br)c(Br)c1Br,O,Brc1c(Br)c(Br)c(Br)c(Br)c1Br.O,True,48
C1=C(C(=CC(=C1Br)Br)Br)Br,CCCCCCCCC=CCCCCCCCC(=O)OCC(OC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCC=CCCCCCCCC,,-9.71,10.1016/j.cej.2021.129307,['Abraham Paper (A25)'],Brc1cc(Br)c(Br)cc1Br,CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC,Brc1cc(Br)c(Br)cc1Br.CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC,True,51
C1=C(C(=CC(=C1Br)Br)Br)Br,O,,-2.54,10.1016/j.cej.2021.129307,['Abraham Paper (A25)'],Brc1cc(Br)c(Br)cc1Br,O,Brc1cc(Br)c(Br)cc1Br.O,True,52
C1=C(C=C(C=C1Br)Br)Br,CCCCCCCCC=CCCCCCCCC(=O)OCC(OC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCC=CCCCCCCCC,,-8.73,10.1016/j.cej.2021.129307,['Abraham Paper (A25)'],Brc1cc(Br)cc(Br)c1,CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC,Brc1cc(Br)cc(Br)c1.CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC,True,55
C1=C(C=C(C=C1Br)Br)Br,O,,-1.91,10.1016/j.cej.2021.129307,['Abraham Paper (A25)'],Brc1cc(Br)cc(Br)c1,O,Brc1cc(Br)cc(Br)c1.O,True,57
C1=CC(=CC=C1Br)Br,CC(O)(C)C,,-6.86,10.1016/j.cej.2021.129307,"['Abraham Paper (A1)', 'Abraham Paper (A12)']",Brc1ccc(Br)cc1,CC(C)(C)O,Brc1ccc(Br)cc1.CC(C)(C)O,True,63
C1=CC(=CC=C1Br)Br,OCCC(C)C,,-7.01,10.1016/j.cej.2021.129307,"['Abraham Paper (A1)', 'Abraham Paper (A12)']",Brc1ccc(Br)cc1,CC(C)CCO,Brc1ccc(Br)cc1.CC(C)CCO,True,64
C1=CC(=CC=C1Br)Br,OCC(C)C,,-6.92,10.1016/j.cej.2021.129307,"['Abraham Paper (A1)', 'Abraham Paper (A12)']",Brc1ccc(Br)cc1,CC(C)CO,Brc1ccc(Br)cc1.CC(C)CO,True,65
C1=CC(=CC=C1Br)Br,CC(O)CC,,-6.94,10.1016/j.cej.2021.129307,"['Abraham Paper (A1)', 'Abraham Paper (A12)']",Brc1ccc(Br)cc1,CCC(C)O,Brc1ccc(Br)cc1.CCC(C)O,True,66
C1=CC(=CC=C1Br)Br,CCCC(O)C,,-6.98,10.1016/j.cej.2021.129307,['Abraham Paper (A12)'],Brc1ccc(Br)cc1,CCCC(C)O,Brc1ccc(Br)cc1.CCCC(C)O,True,67
C1=CC(=CC=C1Br)Br,CCCCCC,,-7.25,10.1016/j.cej.2021.129307,['Abraham Paper (A32)'],Brc1ccc(Br)cc1,CCCCCC,Brc1ccc(Br)cc1.CCCCCC,True,68
Brc1ccc(Br)cc1,CCCCCCC,,-7.55,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,Brc1ccc(Br)cc1,CCCCCCC,Brc1ccc(Br)cc1.CCCCCCC,True,69
C1=CC(=CC=C1Br)Br,CCCCCCCCC=CCCCCCCCC(=O)OCC(OC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCC=CCCCCCCCC,,-7.01,10.1016/j.cej.2021.129307,['Abraham Paper (A25)'],Brc1ccc(Br)cc1,CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC,Brc1ccc(Br)cc1.CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC,True,70
Brc1ccc(Br)cc1,CCCCCCCCO,,-7.29,10.13020/3eks-j059 10.1016/j.cej.2021.129307,Averaged - std : 0.18,Brc1ccc(Br)cc1,CCCCCCCCO,Brc1ccc(Br)cc1.CCCCCCCCO,True,71
C1=CC(=CC=C1Br)Br,CCCCOCCCC,,-7.74,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A9)']",Brc1ccc(Br)cc1,CCCCOCCCC,Brc1ccc(Br)cc1.CCCCOCCCC,True,72
C1=CC(=CC=C1Br)Br,CCOCC,,-8.21,10.1016/j.cej.2021.129307,['Abraham Paper (A12)'],Brc1ccc(Br)cc1,CCOCC,Brc1ccc(Br)cc1.CCOCC,True,74
C1=CC(=CC=C1Br)Br,CC(C)(C)OC,,-7.73,10.1016/j.cej.2021.129307,['Abraham Paper (A12)'],Brc1ccc(Br)cc1,COC(C)(C)C,Brc1ccc(Br)cc1.COC(C)(C)C,True,75
C1=CC(=CC=C1Br)Br,ClC(Cl)(Cl)Cl,,-7.9,10.1016/j.cej.2021.129307,['Abraham Paper (A7)'],Brc1ccc(Br)cc1,ClC(Cl)(Cl)Cl,Brc1ccc(Br)cc1.ClC(Cl)(Cl)Cl,True,76
Brc1ccc(Br)cc1,O,,-2.3,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,Brc1ccc(Br)cc1,O,Brc1ccc(Br)cc1.O,True,78
Brc1cccc(Br)c1,Brc1cccc(Br)c1,,-7.85,Compsol pure,solute-solvent same,Brc1cccc(Br)c1,Brc1cccc(Br)c1,Brc1cccc(Br)c1.Brc1cccc(Br)c1,True,84
C1=CC(=CC(=C1)Br)Br,O,,-1.99,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=62485)'],Brc1cccc(Br)c1,O,Brc1cccc(Br)c1.O,True,86
Brc1cccc2ccccc12,Brc1cccc2ccccc12,,-9.73,Compsol pure,solute-solvent same,Brc1cccc2ccccc12,Brc1cccc2ccccc12,Brc1cccc2ccccc12.Brc1cccc2ccccc12,True,90
Brc1ccccc1,Brc1ccccc1,,-6.275,10.13020/3eks-j059 Compsol pure,Averaged - std : 0.02,Brc1ccccc1,Brc1ccccc1,Brc1ccccc1.Brc1ccccc1,True,93
Brc1ccccc1,C1CCC2CCCCC2C1,,-5.25,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,Brc1ccccc1,C1CCC2CCCCC2C1,Brc1ccccc1.C1CCC2CCCCC2C1,True,94
Brc1ccccc1,C1CCCCC1,,-5.29,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,Brc1ccccc1,C1CCCCC1,Brc1ccccc1.C1CCCCC1,True,95
C1=CC=C(C=C1)Br,O1CCCC1,,-6.45,10.1016/j.cej.2021.129307,['Abraham Paper (A33)'],Brc1ccccc1,C1CCOC1,Brc1ccccc1.C1CCOC1,True,96
C1=CC=C(C=C1)Br,O1CCOCC1,,-6.45,10.1016/j.cej.2021.129307,['Abraham Paper (A33)'],Brc1ccccc1,C1COCCO1,Brc1ccccc1.C1COCCO1,True,97
Brc1ccccc1,CCCCCC,,-5.66,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,Brc1ccccc1,CCCCCC,Brc1ccccc1.CCCCCC,True,98
Brc1ccccc1,CCCCCCC,,-5.72,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,Brc1ccccc1,CCCCCCC,Brc1ccccc1.CCCCCCC,True,99
Brc1ccccc1,CCCCCCCCCC,,-5.43,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,Brc1ccccc1,CCCCCCCCCC,Brc1ccccc1.CCCCCCCCCC,True,100
Brc1ccccc1,CCCCCCCCCCCCCCCC,,-5.49,10.13020/3eks-j059 10.1016/j.cej.2021.129307,Averaged - std : 0.02,Brc1ccccc1,CCCCCCCCCCCCCCCC,Brc1ccccc1.CCCCCCCCCCCCCCCC,True,101
Brc1ccccc1,CCCCCCCCO,,-5.46,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,Brc1ccccc1,CCCCCCCCO,Brc1ccccc1.CCCCCCCCO,True,102
Brc1ccccc1,CCOCC,,-5.99,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,Brc1ccccc1,CCOCC,Brc1ccccc1.CCOCC,True,103
C1=CC=C(C=C1)Br,C(=O)N(C)C,,-6.21,10.1016/j.cej.2021.129307,"['Abraham Paper (A20)', 'Abraham Paper (A5)']",Brc1ccccc1,CN(C)C=O,Brc1ccccc1.CN(C)C=O,True,104
C1=CC=C(C=C1)Br,COCCO,,-5.73,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=22095)'],Brc1ccccc1,COCCO,Brc1ccccc1.COCCO,True,105
Brc1ccccc1,ClC(Cl)(Cl)Cl,,-6.23,10.1016/j.cej.2021.129307,"["" 'Abraham Paper (A7)'""]",Brc1ccccc1,ClC(Cl)(Cl)Cl,Brc1ccccc1.ClC(Cl)(Cl)Cl,True,106
Brc1ccccc1,ClC(Cl)Cl,,-6.07,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,Brc1ccccc1,ClC(Cl)Cl,Brc1ccccc1.ClC(Cl)Cl,True,107
C1=CC=C(C=C1)Br,C(=O)N,,-4.11,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=41225)'],Brc1ccccc1,NC=O,Brc1ccccc1.NC=O,True,108
Brc1ccccc1,O,,-1.46,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,Brc1ccccc1,O,Brc1ccccc1.O,True,110
C1=CC=C(C=C1)Br,C(CO)O,,-4.42,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=5455)'],Brc1ccccc1,OCCO,Brc1ccccc1.OCCO,True,111
C#C,C#C,,-1.46,Compsol pure,solute-solvent same,C#C,C#C,C#C.C#C,True,114
C#C,O1CCOCC1,,-1.71,10.1016/j.cej.2021.129307,['Abraham Paper (A33)'],C#C,C1COCCO1,C#C.C1COCCO1,True,115
C#C,CC(=O)C,,-1.83,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A4)']",C#C,CC(C)=O,C#C.CC(C)=O,True,116
C#C,CC(C)(C)CC(C)C,,-0.37,10.1016/j.cej.2021.129307,['Abraham Paper (A31)'],C#C,CC(C)CC(C)(C)C,C#C.CC(C)CC(C)(C)C,True,117
C#C,CCCCCC,,-0.52,10.1016/j.cej.2021.129307,['Abraham Paper (A32)'],C#C,CCCCCC,C#C.CCCCCC,True,118
C#C,CCCCCCCCCCCCCCCC,,-0.2,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,C#C,CCCCCCCCCCCCCCCC,C#C.CCCCCCCCCCCCCCCC,True,119
C#C,CCCCCCCCO,,-0.51,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,C#C,CCCCCCCCO,C#C.CCCCCCCCO,True,120
C#C,CCCCO,,-0.82,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A2)']",C#C,CCCCO,C#C.CCCCO,True,121
C#C,C(=O)N(C)C,,-1.75,10.1016/j.cej.2021.129307,"['Abraham Paper (A20)', 'Abraham Paper (A5)']",C#C,CN(C)C=O,C#C.CN(C)C=O,True,122
C#C,CO,,-1.42,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A2)']",C#C,CO,C#C.CO,True,123
C#C,CC(=O)OC,,-1.76,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A3)']",C#C,COC(C)=O,C#C.COC(C)=O,True,124
C#C,c1cc(C)ccc1C,,-0.8,10.1016/j.cej.2021.129307,['Abraham Paper (A30)'],C#C,Cc1ccc(C)cc1,C#C.Cc1ccc(C)cc1,True,125
C#C,ClC(Cl)(Cl)Cl,,-0.65,10.1016/j.cej.2021.129307,['Abraham Paper (A7)'],C#C,ClC(Cl)(Cl)Cl,C#C.ClC(Cl)(Cl)Cl,True,126
C#C,O,,-0.005,10.13020/3eks-j059 10.1016/j.cej.2021.129307,Averaged - std : 0.01,C#C,O,C#C.O,True,128
CC(=C)C#C,CC(=C)C#C,,-3.43,Compsol pure,solute-solvent same,C#CC(=C)C,C#CC(=C)C,C#CC(=C)C.C#CC(=C)C,True,131
CC(C)(C#C)O,O,,-5.18,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=64115)'],C#CC(C)(C)O,O,C#CC(C)(C)O.O,True,136
CC(C)C#C,CC(C)C#C,,-3.36,Compsol pure,solute-solvent same,C#CC(C)C,C#CC(C)C,C#CC(C)C.C#CC(C)C,True,143
CC#C,CC#C,,-2.53,Compsol pure,solute-solvent same,C#CC,C#CC,C#CC.C#CC,True,149
CC#C,C1CCC2CCCCC2C1,,-1.49,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=35285)'],C#CC,C1CCC2CCCCC2C1,C#CC.C1CCC2CCCCC2C1,True,150
CC#C,O1CCOCC1,,-2.46,10.1016/j.cej.2021.129307,['Abraham Paper (A33)'],C#CC,C1COCCO1,C#CC.C1COCCO1,True,151
CC#C,CC(=O)C,,-2.48,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A4)']",C#CC,CC(C)=O,C#CC.CC(C)=O,True,152
CC#C,CC(C)(C)CC(C)C,,-1.66,10.1016/j.cej.2021.129307,['Abraham Paper (A31)'],C#CC,CC(C)CC(C)(C)C,C#CC.CC(C)CC(C)(C)C,True,153
CC#C,CC1COC(=O)O1,,-2.04,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=27856)'],C#CC,CC1COC(=O)O1,C#CC.CC1COC(=O)O1,True,154
CC#C,CCCCCCCCCCCCCCCC,,-1.4,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,C#CC,CCCCCCCCCCCCCCCC,C#CC.CCCCCCCCCCCCCCCC,True,155
CC#C,CCCCCCCCO,,-1.59,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,C#CC,CCCCCCCCO,C#CC.CCCCCCCCO,True,156
CC#C,C(=O)N(C)C,,-2.49,10.1016/j.cej.2021.129307,"['Abraham Paper (A20)', 'Abraham Paper (A5)', 'CompSol Binary (entry number=50566)']",C#CC,CN(C)C=O,C#CC.CN(C)C=O,True,157
CC#C,CN(C)P(=O)(N(C)C)N(C)C,,-2.6,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=44764)'],C#CC,CN(C)P(=O)(N(C)C)N(C)C,C#CC.CN(C)P(=O)(N(C)C)N(C)C,True,158
CC#C,CN1CCCC1=O,,-2.47,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=11490)'],C#CC,CN1CCCC1=O,C#CC.CN1CCCC1=O,True,159
CC#C,CC(=O)OC,,-2.51,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A3)']",C#CC,COC(C)=O,C#CC.COC(C)=O,True,160
CC#C,COCCOCCOCCOC,,-2.03,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=18141)'],C#CC,COCCOCCOCCOC,C#CC.COCCOCCOCCOC,True,161
CC#C,CS(=O)C,,-2.14,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=56833)'],C#CC,CS(C)=O,C#CC.CS(C)=O,True,162
CC#C,C1=CC=C(C=C1)N,,-2.01,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=31856)'],C#CC,Nc1ccccc1,C#CC.Nc1ccccc1,True,163
CC#C,O,,-0.395,10.13020/3eks-j059 10.1016/j.cej.2021.129307,Averaged - std : 0.08,C#CC,O,C#CC.O,True,165
CC#C,OCCCOCCCO,,-1.53,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=54787)'],C#CC,OCCCOCCCO,C#CC.OCCCOCCCO,True,166
CC#C,C(CO)O,,-1.22,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=5253)'],C#CC,OCCO,C#CC.OCCO,True,167
CC#C,C1=CC=C(C=C1)CO,,-1.77,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=33615)'],C#CC,OCc1ccccc1,C#CC.OCc1ccccc1,True,168
C=CC#C,C=CC#C,,-3.0,Compsol pure,solute-solvent same,C#CC=C,C#CC=C,C#CC=C.C#CC=C,True,186
C=CC#C,O1CCOCC1,,-3.21,10.1016/j.cej.2021.129307,['Abraham Paper (A33)'],C#CC=C,C1COCCO1,C#CC=C.C1COCCO1,True,187
C=CC#C,CC(=O)C,,-3.19,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A4)']",C#CC=C,CC(C)=O,C#CC=C.CC(C)=O,True,188
C=CC#C,CC(C)(C)CC(C)C,,-2.21,10.1016/j.cej.2021.129307,['Abraham Paper (A31)'],C#CC=C,CC(C)CC(C)(C)C,C#CC=C.CC(C)CC(C)(C)C,True,189
C=CC#C,C(=O)N(C)C,,-3.28,10.1016/j.cej.2021.129307,"['Abraham Paper (A20)', 'Abraham Paper (A5)', 'CompSol Binary (entry number=50459)']",C#CC=C,CN(C)C=O,C#CC=C.CN(C)C=O,True,190
C=CC#C,CC(=O)OC,,-3.19,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A3)']",C#CC=C,COC(C)=O,C#CC=C.COC(C)=O,True,191
C=CC#C,c1cc(C)ccc1C,,-3.07,10.1016/j.cej.2021.129307,['Abraham Paper (A30)'],C#CC=C,Cc1ccc(C)cc1,C#CC=C.Cc1ccc(C)cc1,True,192
C=CC#C,O,,0.04,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,C#CC=C,O,C#CC=C.O,True,194
CCC#C,CCC#C,,-3.0,Compsol pure,solute-solvent same,C#CCC,C#CCC,C#CCC.C#CCC,True,197
CCC#C,O1CCOCC1,,-3.0,10.1016/j.cej.2021.129307,['Abraham Paper (A33)'],C#CCC,C1COCCO1,C#CCC.C1COCCO1,True,198
CCC#C,CC(=O)C,,-2.99,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A4)']",C#CCC,CC(C)=O,C#CCC.CC(C)=O,True,199
CCC#C,CC(C)(C)CC(C)C,,-2.36,10.1016/j.cej.2021.129307,['Abraham Paper (A31)'],C#CCC,CC(C)CC(C)(C)C,C#CCC.CC(C)CC(C)(C)C,True,200
CCC#C,CCCCCCCCCCCCCCCC,,-2.07,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,C#CCC,CCCCCCCCCCCCCCCC,C#CCC.CCCCCCCCCCCCCCCC,True,201
CCC#C,C(=O)N(C)C,,-2.92,10.1016/j.cej.2021.129307,"['Abraham Paper (A20)', 'Abraham Paper (A5)']",C#CCC,CN(C)C=O,C#CCC.CN(C)C=O,True,202
CCC#C,CC(=O)OC,,-3.03,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A3)']",C#CCC,COC(C)=O,C#CCC.COC(C)=O,True,203
CCC#C,O,,-0.16,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,C#CCC,O,C#CCC.O,True,205
C=CCC#C,C=CCC#C,,-3.67,Compsol pure,solute-solvent same,C#CCC=C,C#CCC=C,C#CCC=C.C#CCC=C,True,207
CCCC#C,CCCC#C,,-3.59,Compsol pure,solute-solvent same,C#CCCC,C#CCCC,C#CCCC.C#CCCC,True,208
CCCC#C,CCCCCCCCCCCCCCCC,,-2.74,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,C#CCCC,CCCCCCCCCCCCCCCC,C#CCCC.CCCCCCCCCCCCCCCC,True,209
CCCC#C,CCCCCCCCO,,-2.79,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,C#CCCC,CCCCCCCCO,C#CCCC.CCCCCCCCO,True,210
CCCC#C,C(=O)N(C)C,,-3.46,10.1016/j.cej.2021.129307,"['Abraham Paper (A20)', 'Abraham Paper (A5)']",C#CCCC,CN(C)C=O,C#CCCC.CN(C)C=O,True,211
CCCC#C,c1ccccc1C#N,,-3.31,10.1016/j.cej.2021.129307,['Abraham Paper (A26)'],C#CCCC,N#Cc1ccccc1,C#CCCC.N#Cc1ccccc1,True,212
CCCC#C,O,,0.01,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,C#CCCC,O,C#CCCC.O,True,214
CCCCC#C,CCCCC#C,,-4.21,Compsol pure,solute-solvent same,C#CCCCC,C#CCCCC,C#CCCCC.C#CCCCC,True,216
CCCCC#C,C1CCC(CC1)C2CCCCC2,,-3.65,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=1139)'],C#CCCCC,C1CCC(C2CCCCC2)CC1,C#CCCCC.C1CCC(C2CCCCC2)CC1,True,217
CCCCC#C,C1CCC2CCCCC2C1,,-3.68,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=60838)'],C#CCCCC,C1CCC2CCCCC2C1,C#CCCCC.C1CCC2CCCCC2C1,True,218
